Set -1 Set 1 Energy Cut Size
[4, 5, 6, 7, 8], [0, 1, 2, 3, 9], -21.0, 15
[0, 1, 2, 3, 9], [4, 5, 6, 7, 8], -21.0, 15
[4, 5, 6, 7, 8], [0, 1, 2, 3, 9], -21.0, 15
[4, 5, 6, 7, 8], [0, 1, 2, 3, 9], -21.0, 15
[0, 1, 2, 3, 9], [4, 5, 6, 7, 8], -21.0, 15
[2, 4, 5, 6, 7, 8], [0, 1, 3, 9], -19.0, 14
[0, 1, 3, 9], [2, 4, 5, 6, 7, 8], -19.0, 14
[1, 2, 3, 9], [0, 4, 5, 6, 7, 8], -19.0, 14
[0, 4, 5, 6, 7, 8], [1, 2, 3, 9], -19.0, 14
[1, 2, 3, 9], [0, 4, 5, 6, 7, 8], -19.0, 14
[2, 4, 5, 6, 7, 8], [0, 1, 3, 9], -19.0, 14
[0, 1, 3, 9], [2, 4, 5, 6, 7, 8], -19.0, 14
[0, 4, 5, 6, 7, 8, 9], [1, 2, 3], -17.0, 13
[0, 3, 9], [1, 2, 4, 5, 6, 7, 8], -17.0, 13
[1, 2, 3], [0, 4, 5, 6, 7, 8, 9], -17.0, 13
[1, 2, 4, 5, 6, 7, 8], [0, 3, 9], -17.0, 13
[0, 1, 2, 3], [4, 5, 6, 7, 8, 9], -15.0, 12
[0, 2, 3, 9], [1, 4, 5, 6, 7, 8], -15.0, 12
[0, 1, 2, 3, 5, 9], [4, 6, 7, 8], -15.0, 12
[0, 3, 4, 5, 6, 7, 8, 9], [1, 2], -15.0, 12
[4, 6, 7, 8], [0, 1, 2, 3, 5, 9], -15.0, 12
[1, 4, 6, 7, 8, 9], [0, 2, 3, 5], -15.0, 12
[0, 2, 3, 5], [1, 4, 6, 7, 8, 9], -15.0, 12
[1, 2], [0, 3, 4, 5, 6, 7, 8, 9], -15.0, 12
[4, 5, 6, 7, 8, 9], [0, 1, 2, 3], -15.0, 12
[0, 1, 2, 3], [4, 5, 6, 7, 8, 9], -15.0, 12
[0, 3, 5, 6, 7, 8, 9], [1, 2, 4], -13.0, 11
[0, 2, 3, 5, 9], [1, 4, 6, 7, 8], -13.0, 11
[0, 2, 3], [1, 4, 5, 6, 7, 8, 9], -13.0, 11
[0, 1, 2, 3, 5], [4, 6, 7, 8, 9], -13.0, 11
[1, 2, 5], [0, 3, 4, 6, 7, 8, 9], -13.0, 11
[0, 3, 5, 7, 8, 9], [1, 2, 4, 6], -11.0, 10
[0, 3, 8, 9], [1, 2, 4, 5, 6, 7], -11.0, 10
[1, 2, 4, 6], [0, 3, 5, 7, 8, 9], -11.0, 10
[3, 4, 6, 7, 8, 9], [0, 1, 2, 5], -11.0, 10
[0, 5, 6, 7, 8, 9], [1, 2, 3, 4], -11.0, 10
[0, 1, 2, 9], [3, 4, 5, 6, 7, 8], -11.0, 10
[0, 1, 2, 3, 6], [4, 5, 7, 8, 9], -9.0, 9
[0, 2, 5, 6], [1, 3, 4, 7, 8, 9], -7.0, 8

Best_spins_conf: {0: 1, 1: 1, 2: 1, 3: 1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: 1}
Initial_edges: defaultdict(<class 'int'>, {(0, 1): 1, (0, 2): 1, (0, 3): -1, (0, 4): 1, (0, 5): -1, (0, 6): -1, (0, 7): 1, (0, 8): 1, (0, 9): -1, (1, 2): -1, (1, 3): 1, (1, 4): 1, (1, 5): 1, (1, 6): -1, (1, 7): 1, (1, 8): 1, (1, 9): -1, (2, 3): 1, (2, 4): 1, (2, 5): -1, (2, 6): 1, (2, 7): 1, (2, 8): 1, (2, 9): 1, (3, 4): 1, (3, 5): 1, (3, 6): 1, (3, 7): 1, (3, 8): 1, (3, 9): -1, (4, 5): 1, (4, 6): -1, (4, 7): -1, (4, 8): -1, (4, 9): 1, (5, 6): -1, (5, 7): -1, (5, 8): -1, (5, 9): 1, (6, 7): -1, (6, 8): -1, (6, 9): 1, (7, 8): -1, (7, 9): -1, (8, 9): -1})
<generator object SampleSet.data at 0x7f066e0f45f0>

